OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI,SOUND_TIMER,SOUND_DURATION,TEXTURE_PATH
1,1/7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/10/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/12/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/14/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,1/-5/,3/4/,50/300/50/150/,0/15/2/220/,65.452255,65.447998,resource/tile/Buildings.png
1,1/-21/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-22/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,1/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,2/-2/,2/,50/0/48/150/,10/0/0/150/,13.046993,13.041104,resource/tile/Buildings.png
4,2/-4/,4/,0/150/50/150/,0/0/10/300/,6.892408,6.888000,resource/tile/Buildings.png
1,2/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,2/-1/,2/,50/0/48/150/,10/0/0/150/,13.042617,13.041104,resource/tile/Buildings.png
4,2/2/,2/4/,50/150/50/150/,2/0/30/1000/,6.892138,6.888000,resource/tile/Buildings.png
1,2/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,2/4/,2/,50/0/48/150/,10/0/0/150/,13.041378,13.041104,resource/tile/Buildings.png
2,2/5/,2/,50/0/48/150/,10/0/0/150/,13.043475,13.041104,resource/tile/Buildings.png
4,2/7/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.888185,6.888000,resource/tile/Buildings.png
1,2/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,2/8/,2/4/,50/150/50/150/,2/0/30/1000/,6.889455,6.888000,resource/tile/Buildings.png
1,2/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,2/10/,2/4/,50/150/50/150/,2/0/30/1000/,6.889252,6.888000,resource/tile/Buildings.png
4,2/11/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.892316,6.888000,resource/tile/Buildings.png
1,2/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,2/12/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.890822,6.888000,resource/tile/Buildings.png
4,2/14/,4/,0/150/50/150/,0/0/10/300/,6.889682,6.888000,resource/tile/Buildings.png
3,2/-5/,3/4/,50/300/50/150/,0/15/2/220/,65.458733,65.447998,resource/tile/Buildings.png
1,2/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-17/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-18/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-21/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,2/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,3/-4/,4/,0/150/50/150/,0/0/10/300/,6.892325,6.888000,resource/tile/Buildings.png
3,3/-1/,3/4/,0/300/50/150/,0/3/1/50/,65.455605,65.447998,resource/tile/Buildings.png
2,3/-2/,2/,0/0/50/150/,3/0/0/30/,13.045180,13.041104,resource/tile/Buildings.png
4,3/0/,4/,0/150/50/150/,0/0/10/300/,6.893888,6.888000,resource/tile/Buildings.png
4,3/1/,4/,0/150/50/150/,0/0/10/300/,6.893605,6.888000,resource/tile/Buildings.png
4,3/2/,4/,0/150/50/150/,0/0/10/300/,6.889819,6.888000,resource/tile/Buildings.png
1,3/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,3/4/,2/,50/0/48/150/,10/0/0/150/,13.045661,13.041104,resource/tile/Buildings.png
2,3/5/,2/,50/0/48/150/,10/0/0/150/,13.041601,13.041104,resource/tile/Buildings.png
2,3/7/,2/,50/0/48/150/,10/0/0/150/,13.049831,13.041104,resource/tile/Buildings.png
1,3/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,3/8/,2/4/,50/150/50/150/,2/0/30/1000/,6.900280,6.888000,resource/tile/Buildings.png
4,3/10/,2/4/,50/150/50/150/,2/0/30/1000/,6.892134,6.888000,resource/tile/Buildings.png
1,3/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,3/11/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.893925,6.888000,resource/tile/Buildings.png
4,3/12/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.895689,6.888000,resource/tile/Buildings.png
3,3/-5/,3/4/,50/300/50/150/,0/15/2/220/,65.462265,65.447998,resource/tile/Buildings.png
1,3/19/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/20/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/21/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/22/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-15/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-18/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-19/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-20/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-21/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,3/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-33/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,4/7/,2/,50/0/48/150/,10/0/0/150/,13.056935,13.041104,resource/tile/Buildings.png
1,4/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/10/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/12/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/14/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/15/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/17/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/18/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/19/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-10/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-12/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-14/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-15/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-19/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-20/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-21/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,4/-22/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,5/-2/,2/,0/0/50/150/,3/0/0/30/,13.045220,13.041104,resource/tile/Buildings.png
2,5/-1/,2/,0/0/50/150/,3/0/0/30/,13.046923,13.041104,resource/tile/Buildings.png
2,5/0/,2/,0/0/50/150/,3/0/0/30/,13.041636,13.041104,resource/tile/Buildings.png
2,5/1/,2/,0/0/50/150/,3/0/0/30/,13.044975,13.041104,resource/tile/Buildings.png
2,5/2/,2/,0/0/50/150/,3/0/0/30/,13.043787,13.041104,resource/tile/Buildings.png
2,5/3/,2/,0/0/50/150/,3/0/0/30/,13.048991,13.041104,resource/tile/Buildings.png
1,5/-33/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,5/4/,2/,50/0/48/150/,10/0/0/150/,13.046287,13.041104,resource/tile/Buildings.png
1,5/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,5/5/,3/4/,50/300/50/150/,0/15/2/220/,65.450310,65.447998,resource/tile/Buildings.png
1,5/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,5/9/,4/,0/150/50/150/,0/0/10/300/,6.891077,6.888000,resource/tile/Buildings.png
2,5/10/,2/,50/0/48/150/,10/0/0/150/,13.044559,13.041104,resource/tile/Buildings.png
3,5/7/,3/4/,50/300/50/150/,0/15/2/220/,65.449379,65.447998,resource/tile/Buildings.png
4,5/11/,2/4/,50/150/50/150/,2/0/30/1000/,6.891868,6.888000,resource/tile/Buildings.png
4,5/12/,2/4/,50/150/50/150/,2/0/30/1000/,6.897147,6.888000,resource/tile/Buildings.png
1,5/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,5/14/,2/4/,50/150/50/150/,2/0/30/1000/,6.900935,6.888000,resource/tile/Buildings.png
4,5/15/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.892346,6.888000,resource/tile/Buildings.png
3,5/-4/,3/4/,50/300/50/150/,0/15/2/220/,65.453644,65.447998,resource/tile/Buildings.png
1,5/-22/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,5/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,6/5/,3/4/,0/300/50/150/,0/3/1/50/,65.453911,65.447998,resource/tile/Buildings.png
1,6/-33/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,6/4/,2/,50/0/48/150/,10/0/0/150/,13.042751,13.041104,resource/tile/Buildings.png
2,6/3/,2/,50/0/48/150/,10/0/0/150/,13.042608,13.041104,resource/tile/Buildings.png
2,6/2/,2/,50/0/48/150/,10/0/0/150/,13.046663,13.041104,resource/tile/Buildings.png
1,6/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,6/1/,2/,50/0/48/150/,10/0/0/150/,13.051454,13.041104,resource/tile/Buildings.png
2,6/0/,2/,50/0/48/150/,10/0/0/150/,13.042767,13.041104,resource/tile/Buildings.png
2,6/-1/,2/,50/0/48/150/,10/0/0/150/,13.041398,13.041104,resource/tile/Buildings.png
2,6/-2/,2/,50/0/48/150/,10/0/0/150/,13.048075,13.041104,resource/tile/Buildings.png
3,6/7/,3/4/,50/300/50/150/,0/15/2/220/,65.453545,65.447998,resource/tile/Buildings.png
1,6/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,6/9/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.889168,6.888000,resource/tile/Buildings.png
3,6/12/,3/4/,50/300/50/150/,0/15/2/220/,65.452499,65.447998,resource/tile/Buildings.png
4,6/10/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.891305,6.888000,resource/tile/Buildings.png
4,6/11/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.891154,6.888000,resource/tile/Buildings.png
4,6/14/,2/4/,50/150/50/150/,2/0/30/1000/,6.888754,6.888000,resource/tile/Buildings.png
4,6/15/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.896889,6.888000,resource/tile/Buildings.png
1,6/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,6/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,6/-4/,3/4/,50/300/50/150/,0/15/2/220/,65.458984,65.447998,resource/tile/Buildings.png
1,7/-35/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-34/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-33/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/13/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/10/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/11/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/12/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/16/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,7/14/,2/4/,50/150/50/150/,2/0/30/1000/,6.888831,6.888000,resource/tile/Buildings.png
3,7/7/,3/4/,50/300/50/150/,0/15/2/220/,65.463661,65.447998,resource/tile/Buildings.png
2,7/15/,2/,50/0/48/150/,10/0/0/150/,13.043544,13.041104,resource/tile/Buildings.png
1,7/-23/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-38/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,7/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,7/-4/,3/4/,50/300/50/150/,0/15/2/220/,65.452446,65.447998,resource/tile/Buildings.png
1,-2/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,-2/7/,3/4/,50/300/50/150/,0/15/2/220/,65.448616,65.447998,resource/tile/Buildings.png
1,-2/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-2/8/,2/,50/0/48/150/,10/0/0/150/,13.043754,13.041104,resource/tile/Buildings.png
1,-2/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-2/1/,2/,50/0/48/150/,10/0/0/150/,13.046335,13.041104,resource/tile/Buildings.png
2,-2/2/,2/,50/0/48/150/,10/0/0/150/,13.050141,13.041104,resource/tile/Buildings.png
2,-2/-1/,2/,50/0/48/150/,10/0/0/150/,13.043159,13.041104,resource/tile/Buildings.png
2,-2/-2/,2/,50/0/48/150/,10/0/0/150/,13.043068,13.041104,resource/tile/Buildings.png
2,-2/-3/,2/,0/0/50/150/,3/0/0/30/,13.041847,13.041104,resource/tile/Buildings.png
1,-2/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-2/-4/,2/,50/0/48/150/,10/0/0/150/,13.046345,13.041104,resource/tile/Buildings.png
2,-2/-5/,2/,50/0/48/150/,10/0/0/150/,13.042174,13.041104,resource/tile/Buildings.png
1,-2/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/-25/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-2/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,-3/4/,2/4/,50/150/50/150/,2/0/30/1000/,6.890113,6.888000,resource/tile/Buildings.png
4,-3/5/,2/4/,50/150/50/150/,2/0/30/1000/,6.897812,6.888000,resource/tile/Buildings.png
1,-3/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-3/6/,2/,50/0/48/150/,10/0/0/150/,13.046988,13.041104,resource/tile/Buildings.png
2,-3/7/,2/,50/0/48/150/,10/0/0/150/,13.042192,13.041104,resource/tile/Buildings.png
2,-3/8/,2/,50/0/48/150/,10/0/0/150/,13.043442,13.041104,resource/tile/Buildings.png
1,-3/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-3/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
3,-3/10/,3/4/,50/300/50/150/,0/15/2/220/,65.450111,65.447998,resource/tile/Buildings.png
1,-3/-25/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-3/-26/,2/,0/0/50/150/,3/0/0/30/,0.005657,0.000000,resource/tile/Buildings.png
1,-4/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/8/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/9/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/10/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-4/2/,2/,0/0/50/150/,3/0/0/30/,13.043159,13.041104,resource/tile/Buildings.png
2,-4/1/,2/,0/0/50/150/,3/0/0/30/,13.046273,13.041104,resource/tile/Buildings.png
2,-4/-1/,2/,50/0/48/150/,10/0/0/150/,13.046921,13.041104,resource/tile/Buildings.png
2,-4/-2/,2/,50/0/48/150/,10/0/0/150/,13.043329,13.041104,resource/tile/Buildings.png
2,-4/-3/,2/,50/0/48/150/,10/0/0/150/,13.056481,13.041104,resource/tile/Buildings.png
1,-4/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-4/-4/,2/3/4/,100/0/50/150/,100/20/5/30000/,13.046203,13.041104,resource/tile/Buildings.png
1,-4/-25/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-4/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-5/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-5/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-5/2/,2/3/4/,100/0/50/150/,100/20/5/30000/,13.046391,13.041104,resource/tile/Buildings.png
4,-5/1/,2/3/4/,100/150/50/150/,1/1/50/10000/,6.892437,6.888000,resource/tile/Buildings.png
2,-5/-1/,2/,50/0/48/150/,10/0/0/150/,13.045194,13.041104,resource/tile/Buildings.png
2,-5/-2/,2/,50/0/48/150/,10/0/0/150/,13.041322,13.041104,resource/tile/Buildings.png
2,-5/-3/,2/,50/0/48/150/,10/0/0/150/,13.041223,13.041104,resource/tile/Buildings.png
1,-5/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-5/-4/,2/3/4/,100/0/50/150/,100/20/5/30000/,13.050422,13.041104,resource/tile/Buildings.png
1,-5/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-5/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-5/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-5/-23/,2/,0/0/50/150/,3/0/0/30/,0.006661,0.000000,resource/tile/Buildings.png
3,-5/-25/,3/4/,0/300/50/150/,0/3/1/50/,65.453148,65.447998,resource/tile/Buildings.png
1,-6/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-1/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-2/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-4/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-6/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-7/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-24/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-6/-25/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-7/3/,1/,0/0/0/0/,0/0/0/0/,0,0,N
4,-7/2/,2/4/,50/150/50/150/,2/0/30/1000/,6.894741,6.888000,resource/tile/Buildings.png
4,-7/1/,2/4/,50/150/50/150/,2/0/30/1000/,6.891232,6.888000,resource/tile/Buildings.png
1,-7/0/,1/,0/0/0/0/,0/0/0/0/,0,0,N
1,-7/-5/,1/,0/0/0/0/,0/0/0/0/,0,0,N
2,-7/-1/,2/3/4/,100/0/50/150/,100/20/5/30000/,13.045702,13.041104,resource/tile/Buildings.png
2,-7/-2/,2/3/4/,100/0/50/150/,100/20/5/30000/,13.045061,13.041104,resource/tile/Buildings.png
