OBJECT_TYPE,GRID,TAGS,TEXTURE_RECT,RCI
1,17/21/,1/5/,0/0/0/0/,0/0/0/0/
1,17/11/,1/,0/0/0/0/,0/0/0/0/
1,17/19/,1/5/,0/0/0/0/,0/0/0/0/
3,17/23/,5/3/,0/300/50/150/,0/10/0/20/
2,18/20/,5/2/,0/0/50/150/,10/0/0/10/
1,18/4/,1/5/,0/0/0/0/,0/0/0/0/
1,18/9/,1/,0/0/0/0/,0/0/0/0/
4,18/8/,4/5/,0/150/50/150/,0/0/10/30/
1,18/15/,1/,0/0/0/0/,0/0/0/0/
4,18/5/,4/5/,0/150/50/150/,0/0/10/30/
4,18/3/,5/4/,0/150/50/150/,0/0/10/30/
1,18/11/,1/,0/0/0/0/,0/0/0/0/
1,18/22/,1/5/,0/0/0/0/,0/0/0/0/
2,18/21/,5/2/,0/0/50/150/,10/0/0/10/
4,18/23/,5/4/,0/150/50/150/,0/0/10/30/
1,18/19/,1/5/,0/0/0/0/,0/0/0/0/
4,18/7/,4/5/,0/150/50/150/,0/0/10/30/
4,18/6/,4/5/,0/150/50/150/,0/0/10/30/
4,18/16/,4/,0/150/50/150/,0/0/10/30/
1,19/19/,1/5/,0/0/0/0/,0/0/0/0/
1,19/11/,1/,0/0/0/0/,0/0/0/0/
1,19/4/,1/5/,0/0/0/0/,0/0/0/0/
2,19/20/,5/2/,0/0/50/150/,10/0/0/10/
1,19/9/,1/,0/0/0/0/,0/0/0/0/
1,19/8/,1/5/,0/0/0/0/,0/0/0/0/
1,19/22/,1/5/,0/0/0/0/,0/0/0/0/
2,19/21/,5/2/,0/0/50/150/,10/0/0/10/
4,19/5/,4/5/,0/150/50/150/,0/0/10/30/
1,19/15/,1/,0/0/0/0/,0/0/0/0/
4,19/3/,5/4/,0/150/50/150/,0/0/10/30/
1,19/6/,1/5/,0/0/0/0/,0/0/0/0/
1,19/7/,1/5/,0/0/0/0/,0/0/0/0/
1,19/16/,1/,0/0/0/0/,0/0/0/0/
1,19/18/,1/,0/0/0/0/,0/0/0/0/
4,19/12/,4/,0/150/50/150/,0/0/10/30/
1,19/17/,1/,0/0/0/0/,0/0/0/0/
1,20/11/,1/,0/0/0/0/,0/0/0/0/
1,20/19/,1/5/,0/0/0/0/,0/0/0/0/
1,20/22/,1/5/,0/0/0/0/,0/0/0/0/
3,20/6/,3/5/,0/300/50/150/,0/10/0/20/
1,20/4/,1/5/,0/0/0/0/,0/0/0/0/
1,20/9/,1/,0/0/0/0/,0/0/0/0/
2,20/21/,5/2/,0/0/50/150/,10/0/0/10/
1,20/20/,1/5/,0/0/0/0/,0/0/0/0/
4,20/5/,4/5/,0/150/50/150/,0/0/10/30/
1,20/16/,1/,0/0/0/0/,0/0/0/0/
2,20/15/,2/,0/0/50/150/,10/0/0/10/
3,20/17/,3/,0/300/50/150/,0/10/0/20/
1,21/11/,1/,0/0/0/0/,0/0/0/0/
1,21/9/,1/,0/0/0/0/,0/0/0/0/
1,21/22/,1/5/,0/0/0/0/,0/0/0/0/
2,21/21/,5/2/,0/0/50/150/,10/0/0/10/
4,21/5/,4/5/,0/150/50/150/,0/0/10/30/
1,21/4/,1/5/,0/0/0/0/,0/0/0/0/
1,21/20/,1/5/,0/0/0/0/,0/0/0/0/
1,21/16/,1/,0/0/0/0/,0/0/0/0/
2,21/15/,2/,0/0/50/150/,10/0/0/10/
3,21/10/,3/,0/300/50/150/,0/10/0/20/
3,21/12/,3/,0/300/50/150/,0/10/0/20/
1,21/3/,1/5/,0/0/0/0/,0/0/0/0/
4,21/23/,5/4/,0/150/50/150/,0/0/10/30/
2,21/13/,2/,0/0/50/150/,10/0/0/10/
1,22/11/,1/,0/0/0/0/,0/0/0/0/
1,22/9/,1/,0/0/0/0/,0/0/0/0/
1,22/20/,1/5/,0/0/0/0/,0/0/0/0/
2,22/4/,5/2/,0/0/50/150/,10/0/0/10/
1,22/22/,1/5/,0/0/0/0/,0/0/0/0/
1,22/5/,1/5/,0/0/0/0/,0/0/0/0/
2,22/21/,5/2/,0/0/50/150/,10/0/0/10/
1,22/16/,1/,0/0/0/0/,0/0/0/0/
1,22/15/,1/,0/0/0/0/,0/0/0/0/
1,22/10/,1/,0/0/0/0/,0/0/0/0/
1,22/12/,1/,0/0/0/0/,0/0/0/0/
1,22/13/,1/,0/0/0/0/,0/0/0/0/
1,22/3/,1/5/,0/0/0/0/,0/0/0/0/
4,22/23/,5/4/,0/150/50/150/,0/0/10/30/
2,22/19/,5/2/,0/0/50/150/,10/0/0/10/
1,22/8/,1/5/,0/0/0/0/,0/0/0/0/
1,22/6/,1/5/,0/0/0/0/,0/0/0/0/
1,22/17/,1/,0/0/0/0/,0/0/0/0/
1,22/14/,1/,0/0/0/0/,0/0/0/0/
1,22/7/,1/5/,0/0/0/0/,0/0/0/0/
1,22/18/,1/,0/0/0/0/,0/0/0/0/
1,23/11/,1/,0/0/0/0/,0/0/0/0/
3,23/10/,3/,0/300/50/150/,0/10/0/20/
3,23/12/,3/,0/300/50/150/,0/10/0/20/
1,23/4/,1/5/,0/0/0/0/,0/0/0/0/
2,23/20/,5/2/,0/0/50/150/,10/0/0/10/
1,23/22/,1/5/,0/0/0/0/,0/0/0/0/
2,23/21/,5/2/,0/0/50/150/,10/0/0/10/
1,23/5/,1/5/,0/0/0/0/,0/0/0/0/
2,23/16/,2/,0/0/50/150/,10/0/0/10/
2,23/15/,2/,0/0/50/150/,10/0/0/10/
1,23/3/,1/5/,0/0/0/0/,0/0/0/0/
2,23/13/,2/,0/0/50/150/,10/0/0/10/
2,23/17/,2/,0/0/50/150/,10/0/0/10/
1,23/18/,1/,0/0/0/0/,0/0/0/0/
1,23/19/,1/5/,0/0/0/0/,0/0/0/0/
4,23/7/,4/5/,0/150/50/150/,0/0/10/30/
1,24/11/,1/5/,0/0/0/0/,0/0/0/0/
2,24/18/,5/2/,0/0/50/150/,10/0/0/10/
2,24/13/,5/2/,0/0/50/150/,10/0/0/10/
2,24/19/,5/2/,0/0/50/150/,10/0/0/10/
1,24/22/,1/5/,0/0/0/0/,0/0/0/0/
2,24/20/,5/2/,0/0/50/150/,10/0/0/10/
1,24/21/,1/5/,0/0/0/0/,0/0/0/0/
1,25/11/,1/5/,0/0/0/0/,0/0/0/0/
1,25/19/,1/5/,0/0/0/0/,0/0/0/0/
3,25/10/,5/3/,0/300/50/150/,0/10/0/20/
1,25/18/,1/5/,0/0/0/0/,0/0/0/0/
1,25/20/,1/5/,0/0/0/0/,0/0/0/0/
1,25/13/,1/5/,0/0/0/0/,0/0/0/0/
1,25/21/,1/5/,0/0/0/0/,0/0/0/0/
1,25/12/,1/5/,0/0/0/0/,0/0/0/0/
1,25/17/,1/5/,0/0/0/0/,0/0/0/0/
1,25/14/,1/5/,0/0/0/0/,0/0/0/0/
1,25/16/,1/5/,0/0/0/0/,0/0/0/0/
1,25/15/,1/5/,0/0/0/0/,0/0/0/0/
1,26/11/,1/5/,0/0/0/0/,0/0/0/0/
2,26/18/,5/2/,0/0/50/150/,10/0/0/10/
4,26/10/,5/4/,0/150/50/150/,0/0/10/30/
4,26/16/,5/4/,0/150/50/150/,0/0/10/30/
2,26/14/,5/2/,0/0/50/150/,10/0/0/10/
1,10/13/,1/,0/0/0/0/,0/0/0/0/
2,10/14/,5/2/,0/0/50/150/,10/0/0/10/
1,10/21/,1/5/,0/0/0/0/,0/0/0/0/
2,10/22/,5/2/,0/0/50/150/,10/0/0/10/
1,9/21/,1/5/,0/0/0/0/,0/0/0/0/
1,9/13/,1/,0/0/0/0/,0/0/0/0/
2,9/22/,5/2/,0/0/50/150/,10/0/0/10/
2,9/14/,5/2/,0/0/50/150/,10/0/0/10/
1,8/13/,1/5/,0/0/0/0/,0/0/0/0/
1,8/21/,1/5/,0/0/0/0/,0/0/0/0/
2,8/22/,5/2/,0/0/50/150/,10/0/0/10/
2,8/14/,5/2/,0/0/50/150/,10/0/0/10/
4,8/12/,5/4/,0/150/50/150/,0/0/10/30/
3,8/18/,5/3/,0/300/50/150/,0/10/0/20/
1,7/13/,1/5/,0/0/0/0/,0/0/0/0/
1,7/21/,1/5/,0/0/0/0/,0/0/0/0/
2,7/14/,5/2/,0/0/50/150/,10/0/0/10/
1,7/22/,1/5/,0/0/0/0/,0/0/0/0/
1,7/20/,1/5/,0/0/0/0/,0/0/0/0/
1,7/18/,1/5/,0/0/0/0/,0/0/0/0/
1,7/23/,1/5/,0/0/0/0/,0/0/0/0/
1,7/19/,1/5/,0/0/0/0/,0/0/0/0/
1,7/24/,1/,0/0/0/0/,0/0/0/0/
1,7/25/,1/,0/0/0/0/,0/0/0/0/
1,6/13/,1/5/,0/0/0/0/,0/0/0/0/
1,6/21/,1/5/,0/0/0/0/,0/0/0/0/
4,6/22/,5/4/,0/150/50/150/,0/0/10/30/
1,6/14/,1/5/,0/0/0/0/,0/0/0/0/
1,6/18/,1/5/,0/0/0/0/,0/0/0/0/
1,6/25/,1/,0/0/0/0/,0/0/0/0/
1,6/17/,1/5/,0/0/0/0/,0/0/0/0/
1,6/26/,1/,0/0/0/0/,0/0/0/0/
1,6/15/,1/5/,0/0/0/0/,0/0/0/0/
1,6/16/,1/5/,0/0/0/0/,0/0/0/0/
2,6/27/,5/2/,0/0/50/150/,10/0/0/10/
3,5/13/,5/3/,0/300/50/150/,0/10/0/20/
1,5/21/,1/5/,0/0/0/0/,0/0/0/0/
4,5/18/,5/4/,0/150/50/150/,0/0/10/30/
1,4/21/,1/5/,0/0/0/0/,0/0/0/0/
1,3/21/,1/5/,0/0/0/0/,0/0/0/0/
1,3/22/,1/5/,0/0/0/0/,0/0/0/0/
2,3/23/,5/2/,0/0/50/150/,10/0/0/10/
1,2/22/,1/5/,0/0/0/0/,0/0/0/0/
2,2/23/,5/2/,0/0/50/150/,10/0/0/10/
1,1/22/,1/,0/0/0/0/,0/0/0/0/
2,1/23/,5/2/,0/0/50/150/,10/0/0/10/
3,0/22/,5/3/,0/300/50/150/,0/10/0/20/
